iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,22,0.12762285139737342,25.0,14.0
2,50,23,0.15659212800480568,23.0,14.0
3,55,28,0.17179505474960646,23.0,14.0
4,60,31,0.17356509575953044,23.0,14.0
5,65,32,0.17862342709888898,23.0,14.0
6,70,34,0.1889517947311219,21.5,14.0
7,75,36,0.22087702904422998,21.5,14.0
8,80,37,0.22121239224044328,22.0,14.0
9,85,38,0.23718609985893271,22.5,14.0
10,90,42,0.23983287515897675,22.0,14.0
11,95,45,0.24878160566924407,22.0,14.0
12,100,47,0.2645460115954671,22.0,14.0
13,105,50,0.2720097824557124,23.0,14.0
14,110,54,0.2788629064078936,23.0,14.0
15,115,56,0.282358672252884,23.0,14.0
16,120,58,0.28368337793689896,23.0,14.0
17,125,59,0.2848166865652509,23.0,14.0
18,130,60,0.3004507866062452,23.5,14.0
19,135,62,0.31733106830781155,23.5,14.0
20,140,66,0.31818068867926325,23.0,14.0
21,145,70,0.3255587759099248,23.0,14.0
22,150,74,0.3267104653731185,23.0,14.0
23,155,78,0.33423578536162246,23.0,14.0
24,160,78,0.37383791001513944,23.0,14.0
25,165,82,0.37551698623955154,22.0,14.0
26,170,85,0.3757701505376124,22.0,14.0
27,175,89,0.37640184936905463,22.0,14.0
28,180,94,0.3794924837156358,22.5,14.0
29,185,96,0.3797485141609281,22.5,14.0
30,190,98,0.3797511982745043,22.0,14.0
31,195,101,0.3797958723633403,22.0,14.0
32,200,104,0.3798819613086889,22.0,14.0
33,205,106,0.38000276018620993,22.0,14.0
34,210,109,0.38039474631257403,22.0,14.0
35,215,110,0.38044339379132025,22.0,14.0
36,220,113,0.38051031437221194,22.0,14.0
37,225,115,0.38051516909051747,22.0,14.0
38,230,118,0.3821451059348473,22.0,14.0
39,235,120,0.38236037191248995,22.0,14.0
40,240,121,0.38241536454193614,22.0,14.0
41,245,123,0.3845563237231982,22.0,14.0
42,250,127,0.38482765916678335,22.0,14.0
43,255,130,0.3884087941869776,22.0,14.0
44,260,134,0.3888540615463823,22.0,14.0
45,265,136,0.388910243833517,22.0,14.0
46,270,137,0.38990221387025464,22.0,14.0
47,275,139,0.38992784385249113,22.0,14.0
48,280,140,0.3899312216007159,22.0,14.0
49,285,141,0.3899312216007159,22.0,14.0
50,290,143,0.3900124072462288,22.0,14.0
51,295,146,0.3903476854030311,22.0,14.0
52,300,148,0.3925943075178053,22.0,14.0
53,305,151,0.39268861764737245,22.0,14.0
54,310,153,0.39269602398691555,22.0,14.0
55,315,155,0.39270077531056846,22.0,14.0
56,320,159,0.39333689120715554,22.0,14.0
57,325,161,0.3933493679967275,22.0,14.0
58,330,163,0.3935351105494918,22.0,14.0
