SMILES,pred_SI,PfDHFR,hDHFR,SI,physical
CNC(C)C(=O)Nc1cc(-c2c(OC)ccc3nccnc23)cc(NC(=O)c2ccc(Cl)cn2)n1,2.1181619543626837,-7.118,-5.269,1.8490000000000002,True
O=C(c1cccs1)[C@H]1[C@H](c2ccccc2)C2CCCN2[C@]12C(=O)Nc1ccccc12,1.7558095191532743,-6.333,-5.433,0.9000000000000004,False
COc1cccc(C(=O)Nc2ccc3c(C)cc(=O)oc3c2)c1,1.5997647453663646,-8.795,-8.674,0.12100000000000044,True
COc1ccc2c(=O)cc(CN)oc2c1,1.5968907793971212,-7.274,-7.004,0.27000000000000046,True
COc1cccc(-n2c(=S)[nH]c3c(oc4ccccc43)c2=O)c1,1.553784651644591,-8.364,-7.599,0.7650000000000006,True
COc1cc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc(Br)c1O,1.5254093021090043,-8.834,-6.01,2.824,True
CNC(C)C(=O)Nc1cc(-c2cccc3nc(C)c(C)n23)cc(NC(=O)c2ccc(Cl)cn2)n1,1.5235177346201993,-8.677,-5.075,3.6019999999999994,True
COc1ccc2c(=O)cc(-c3ccccc3C(F)(F)F)oc2c1,1.5016967680814304,-9.833,-9.929,-0.09600000000000009,True
CN1CCC(=O)[C@]2(C1)[C@@H](c1ccccc1Cl)CN(C)[C@@]21C(=O)Nc2ccccc21,1.4910355341962713,-4.661,1.145,5.805999999999999,False
CN[C@@H](C)C(=O)N[C@@H]1C(=O)N(Cc2c(OC)ccc3ccccc23)c2ccc(C#N)cc2N(C(C)=O)[C@H]1C.Cl,1.4890686021086168,,,,False
COC(=O)CN1C(=O)c2ccccc2[C@H](C(=O)Nc2cccc(C#N)c2)[C@H]1c1cccs1,1.484534348088573,-7.634,-7.504,0.13000000000000078,True
COc1ccc2c(c1)C(c1ccc(O)cc1)(c1ccc(O)cc1)C(=O)N2,1.4717916983758244,-9.456,-8.567,0.8889999999999993,True
Cc1c(Cl)c(=O)oc2cc3[nH]c4ccccc4c3cc12,1.4660925227272728,-8.937,-9.392,-0.45500000000000007,True
COc1ccc2c(c1)oc1c(Nc3ccc(C#N)cc3)ncnc12,1.4608195437179816,-10.09,-10.37,-0.27999999999999936,True
COc1ccc2c(c1)oc(=O)c1c(C)nn(-c3ccccc3C(F)(F)F)c12,1.4530746892085205,-10.1,-7.512,2.588,True
COCC(=O)Nc1c(C(=O)Nc2cccc(OC)c2)oc2ccccc12,1.4358897176628247,-8.051,-8.138,-0.08699999999999974,True
COc1ccc2c(=O)cc(-c3ccco3)oc2c1,1.3895980530173304,-8.627,-8.214,0.41300000000000026,True
Cc1c(C)c2ccc(Oc3ccccc3)cc2oc1=O,1.366093469940651,-9.101,-9.596,-0.4949999999999992,True
COc1ccc2oc(=O)c(C(=O)N3CCc4ccccc43)cc2c1,1.319334210477031,-9.86,-10.29,-0.4299999999999997,True
COc1ccc2oc(-c3ccccc3[N+](=O)[O-])cc(=O)c2c1,1.3182704500606945,-8.55,-7.859,0.6910000000000007,True
