seed,base_hv,base_auc,base_physical,base_artifacts,base_top20_SI,base_best_SI,base_best_pf,rej_hv,rej_auc,rej_physical,rej_artifacts,rej_top20_SI,rej_best_SI,rej_best_pf
0,0.3962918568802018,0.3391891482498391,255,35,2.15395,5.372,-11.1,0.3962406547819389,0.3364975013044088,250,40,2.4986499999999996,5.372,-11.1
1,0.3702940446016428,0.3243186214729738,249,41,2.3001499999999995,5.372,-11.38,0.4021716899524363,0.33088572327206767,252,38,2.8434,5.372,-11.1
2,0.4012052889064209,0.3555795256116105,250,40,3.0149999999999997,5.925,-11.17,0.4020594136455644,0.3446442345454532,252,38,3.1038999999999994,5.925,-11.17
3,0.3999738114870068,0.32300977736446707,256,34,2.6313,5.372,-11.23,0.3758100638351995,0.32383384896478795,256,34,2.7255499999999997,5.372,-10.92
4,0.4016722190865921,0.3365818990586752,248,42,2.64605,5.372,-11.1,0.3981841500387131,0.34219219989423977,245,45,2.3100499999999995,5.372,-11.38
5,0.3991280596164362,0.3282933668570655,250,40,2.552799999999999,5.372,-11.23,0.3996997880900652,0.34004313229816135,241,49,2.3130999999999995,5.372,-11.1
