iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,25,0.15490287736787645,23.0,17.0
2,50,30,0.19138653215609056,23.0,15.0
3,55,35,0.20917757506756868,23.0,15.0
4,60,38,0.23096221609307965,22.0,15.0
5,65,42,0.24626462757991952,22.5,15.0
6,70,46,0.26344906928034745,23.0,15.0
7,75,51,0.2828580263231317,23.0,15.0
8,80,54,0.29399912961117985,23.5,15.0
9,85,58,0.30815997830756675,23.5,15.0
10,90,57,0.31860376747569075,24.0,15.0
11,95,62,0.3196044210802612,23.0,14.0
12,100,65,0.32253120553195286,23.0,14.0
13,105,69,0.32498452153176827,23.0,14.0
14,110,73,0.32631530071563225,23.0,14.0
15,115,78,0.3266175024804261,23.0,14.0
16,120,82,0.3285152279493666,23.0,14.0
17,125,85,0.3286502129831377,23.0,14.0
18,130,88,0.32882269698290156,23.0,14.0
19,135,92,0.32977650657204877,23.0,14.0
20,140,93,0.3302639214839313,23.0,14.0
21,145,97,0.33080387875227657,23.0,14.0
22,150,99,0.3311775633022291,23.0,14.0
23,155,104,0.3460235516907253,23.0,14.0
24,160,107,0.3461122298180474,23.0,14.0
25,165,112,0.3464301084321005,23.0,14.0
26,170,115,0.3468820487641858,23.0,14.0
27,175,119,0.3475227209289126,23.0,14.0
28,180,123,0.3476914244177147,23.0,14.0
29,185,127,0.3524487452566908,23.0,14.0
30,190,130,0.3524872709812157,23.0,14.0
31,195,128,0.39379749742057796,23.0,14.0
32,200,132,0.3941860998013695,22.5,14.0
33,205,135,0.39420823031181235,22.0,14.0
34,210,138,0.3946009563828409,22.0,14.0
35,215,142,0.39465290189785335,22.0,14.0
36,220,145,0.3959003654236487,22.0,14.0
37,225,148,0.39699887922538385,22.0,14.0
38,230,150,0.3974729223848553,22.0,14.0
39,235,154,0.397828368097895,22.0,14.0
40,240,156,0.39814562596744296,22.0,14.0
41,245,159,0.39821027986929963,23.0,14.0
42,250,160,0.3982563740296924,23.0,14.0
43,255,162,0.39827437148775463,23.0,14.0
44,260,166,0.3983679547869904,23.0,14.0
45,265,169,0.3983885931827714,23.0,14.0
46,270,170,0.39841536251966364,23.0,14.0
47,275,172,0.3988200660481597,23.0,14.0
48,280,177,0.402015421300356,23.0,14.0
49,285,180,0.4020240955320166,23.0,14.0
50,290,183,0.40205941364556447,23.0,14.0
