iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,27,0.06281214203679031,24.0,16.0
2,50,30,0.07608339343346594,25.0,15.0
3,55,31,0.10013238195720486,24.0,15.0
4,60,35,0.10162210471781587,24.0,14.0
5,65,38,0.10297150252926206,24.5,14.0
6,70,43,0.10313143593840021,25.0,14.0
7,75,47,0.10886178520529285,24.0,14.0
8,80,51,0.10918603779016149,23.0,14.0
9,85,54,0.11055971131354916,23.5,14.0
10,90,48,0.11574935451641791,23.5,14.0
11,95,50,0.11582765078736153,23.5,14.0
12,100,52,0.12354974141545848,24.0,14.0
13,105,54,0.1256927014332773,24.0,14.0
14,110,56,0.1261048246187692,24.5,14.0
15,115,60,0.12619800521905472,24.0,14.0
16,120,65,0.12648500171006913,24.0,14.0
17,125,63,0.1307640231642866,24.0,14.0
18,130,65,0.13144369430947012,24.0,14.0
19,135,56,0.13994795627832807,23.5,14.0
20,140,58,0.14118464481299012,24.0,14.0
21,145,61,0.14122576962293681,24.0,14.0
22,150,63,0.14327337104819077,24.0,14.0
23,155,63,0.14327337104819077,24.0,14.0
24,160,65,0.1441290046312675,23.0,14.0
25,165,67,0.14437538192322055,23.0,14.0
26,170,68,0.14454616839066398,23.0,14.0
27,175,72,0.14462807781997525,23.0,14.0
28,180,71,0.16079494553463844,23.0,14.0
29,185,71,0.19762266587832206,23.0,14.0
30,190,74,0.20040083916179346,23.0,14.0
31,195,76,0.22375901935303608,23.0,14.0
32,200,78,0.22394360041928063,23.0,14.0
33,205,75,0.22665033708390997,23.0,14.0
34,210,77,0.22691855662430988,23.0,14.0
35,215,80,0.24205417987647085,23.0,14.0
36,220,81,0.24475564793300336,23.0,14.0
37,225,83,0.2452762209228519,23.0,14.0
38,230,85,0.24528113624016268,24.0,14.0
39,235,86,0.24539054133748509,23.0,14.0
40,240,88,0.2513305148324134,23.5,14.0
41,245,88,0.252230898175834,23.0,14.0
42,250,92,0.254558937166264,23.0,14.0
43,255,97,0.2592672843169925,23.0,14.0
44,260,98,0.2594007163622112,23.0,14.0
45,265,99,0.259547494230072,23.0,14.0
46,270,99,0.25995520090526536,23.0,14.0
47,275,100,0.2602511090170698,23.5,14.0
48,280,102,0.26025190670320786,24.0,14.0
49,285,104,0.2614352493123284,24.0,14.0
50,290,105,0.2614623562122341,24.0,14.0
