hdhfr_upper_bound,is_published_frame,oracle_front_size_normalized,oracle_front_size_raw_invariant,oracle_hypervolume,molecules_still_clipping_at_top,MOGP_hv_mean,MOGP_hv_sd,GPMOBO_hv_mean,GPMOBO_hv_sd,Greedy_hv_mean,Greedy_hv_sd,ratio_MOGP_over_GPMOBO,ratio_MOGP_over_Greedy,MOGP_beats_GPMOBO_n_of_10,MOGP_beats_Greedy_n_of_10,complete_separation_vs_GPMOBO,complete_separation_vs_Greedy,min_MOGP,max_GPMOBO,max_Greedy,wilcoxon_p_vs_GPMOBO,wilcoxon_p_vs_Greedy,front_members_added_vs_published,front_members_removed_vs_published,front_members_changed_vs_published,raw411_members_on_normalized_front,margin_gp,margin_gr,margin_gp_pct,margin_gr_pct
-5.0,True,395,411,0.4215182020689505,64,0.4079043391277472,0.004514160454895,0.3122883973660559,0.0357487312941946,0.195049659920037,0.0232646544369418,1.3061783356927374,2.091284544125698,10,10,True,True,0.3976797884805362,0.3526297358747283,0.2292496024802401,0.001953125,0.001953125,0,0,0,395,0.04505005260580791,0.1684301860002961,11.044269031837675,41.291589680184124
-2.0,False,403,411,0.3258350785666667,15,0.2888307764620998,0.0056597629408177,0.2208344021744276,0.0303126757875649,0.1371110431504522,0.0188585606126121,1.3079066197030516,2.1065464154128355,10,10,True,True,0.2773519623324943,0.2522143365941922,0.166546929527102,0.001953125,0.001953125,8,0,8,403,0.02513762573830214,0.1108050328053923,8.70323656163445,38.363305379934836
0.0,False,403,411,0.2767274515975387,12,0.2363160898326271,0.0046307151333964,0.1847978428492421,0.0274313917620481,0.112459346211135,0.0156907400038081,1.278781646955769,2.1013468226016467,10,10,True,True,0.2269243328174953,0.2160121993643792,0.1362656696130834,0.001953125,0.001953125,8,0,8,403,0.01091213345311609,0.0906586632044119,4.617600714722685,38.36330537993485
2.0,False,405,411,0.2405477234643754,9,0.1999597683199152,0.0039182974205661,0.1587703017204091,0.0250709314158171,0.0952928517520421,0.0133577229637995,1.2594280300105487,2.098371122738806,10,10,True,True,0.192012896999419,0.1883634940284678,0.1153017204418398,0.001953125,0.001953125,10,0,10,405,0.0036494029709512044,0.07671117655757921,1.8250686133585294,38.363305379934815
