iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,26,0.08825516603031741,25.0,16.0
2,50,26,0.09519400027108818,24.5,15.0
3,55,23,0.10790327654480455,24.0,15.0
4,60,28,0.11661993102847316,24.5,15.0
5,65,30,0.13820016283381847,24.0,15.0
6,70,32,0.14846396578042398,23.5,14.0
7,75,37,0.15670862246941628,23.0,14.0
8,80,38,0.17256109813457338,22.5,14.0
9,85,43,0.17365280047192574,24.0,14.0
10,90,47,0.17474708379846643,24.0,14.0
11,95,51,0.1769231402126979,24.0,14.0
12,100,53,0.17734282106867422,24.0,14.0
13,105,56,0.1777030784092741,23.0,14.0
14,110,60,0.1780888746287432,22.0,14.0
15,115,62,0.1788285635421066,22.0,14.0
16,120,64,0.178904837221249,22.0,14.0
17,125,69,0.1795491108298423,22.0,14.0
18,130,73,0.18106826898649156,22.0,14.0
19,135,76,0.19741240586508427,22.0,14.0
20,140,79,0.19776658670236794,22.0,14.0
21,145,84,0.1980268506787411,22.0,14.0
22,150,85,0.1980281457089328,22.0,14.0
23,155,89,0.19898591611271993,22.0,14.0
24,160,92,0.19909434438157136,22.0,14.0
25,165,96,0.1992581776617096,21.5,14.0
26,170,99,0.20115347617154397,22.0,14.0
27,175,102,0.20118142668048491,22.0,14.0
28,180,104,0.20128405512985922,21.5,14.0
29,185,108,0.2015973031090807,21.5,14.0
30,190,112,0.2020697752872262,21.0,14.0
31,195,113,0.20303511035376678,22.0,14.0
32,200,117,0.20346564536536504,21.0,14.0
33,205,120,0.20395904551396532,21.0,14.0
34,210,125,0.2042421163725232,21.0,14.0
35,215,128,0.20739944446241243,21.5,14.0
36,220,131,0.20828813978075678,22.0,14.0
37,225,133,0.2085437948685583,22.0,14.0
38,230,135,0.20896584907880603,22.0,14.0
39,235,139,0.20898736116186303,21.0,14.0
40,240,144,0.20923458971454933,21.0,14.0
41,245,145,0.20923464187233157,21.0,14.0
42,250,146,0.209368276692963,21.5,14.0
43,255,143,0.22927180527157076,21.0,14.0
44,260,146,0.22931541157287275,21.0,14.0
45,265,149,0.22933732575545948,21.0,14.0
46,270,151,0.22935039264281917,21.0,14.0
47,275,153,0.22936210883714891,21.0,14.0
48,280,158,0.2298509737125351,21.5,14.0
49,285,161,0.22989865050625552,21.0,14.0
50,290,164,0.22989896978752172,21.0,14.0
