SMILES,Caco2_logPapp,Half_Life_hours,hERG_Toxicity_Prob
COC(=O)c1ccc(/C=C(/NC(=O)c2ccccc2)C(=O)N2CCOCC2)cc1,-4.9034313339574895,1.5531241680396655,0.48610551043021655
Cc1cccc(N2CCN(C(=O)CNC(=O)c3ccccc3)CC2)c1C,-5.2322256956415405,3.851438388158871,0.6220162016218116
C[C@@]12CCC(=O)C=C1C[C@H](O)[C@@H]1[C@@H]2CC[C@]2(C)[C@H]1CC[C@]2(C)O,-4.5955555971849185,1.9363530372447961,0.6608243317990457
CN(C(=O)c1csc(CNS(=O)(=O)c2cccc(Cl)c2)n1)C1CCCCCC1,-5.0529453595877865,4.9856318971247635,0.9852284225363691
O=C(Nc1ccc2nc(Cc3ccccc3)nn2c1)NC1CCCCC1,-5.755140679950334,7.174962345765524,0.758689623260261
CCOC(=O)C1CCN(C(=O)c2cccc(S(=O)(=O)N(CC)c3ccccc3)c2)CC1,-4.860219696299112,3.5950877446683642,0.8902031367129922
Cc1[nH]c2ncn3[nH]c(=S)nc3c2c1Cc1ccccc1,-4.958868144177738,3.2706945039388877,0.9121936619673615
COC(C)(C)c1cccc(-c2cc(NC(=O)[C@H]3CNC(=O)C3)nn2-c2ccccc2)c1,-5.400923424921172,6.209527495951167,0.7816895757190596
C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,-4.537342143937108,3.290307896257025,0.7694220625279544
CCCc1nc(CO)c(C(=O)OCC)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,-4.682130910370847,2.7925844557228015,0.7276525904122382
CC(=O)C(=O)Nc1ccc(Cl)c(S(=O)(=O)N(C)C)c1,-4.521215930749389,6.495887375773474,0.1692042211169992
Cc1ccc(Cl)c(OCCCN(C)Cc2ccccc2)c1.O=C(O)C(=O)O,-4.790601395857603,2.8603992256365016,0.9995327983944687
CC12CCCN(CC1)Cc1c([nH]c3ccccc13)C2=O.O=S(=O)(O)O,-5.028647628948909,5.560590157269446,0.8810365852844017
OC(COc1ccccc1)CN(Cc1ccccc1)CC(O)COc1ccccc1,-4.543727142408519,4.928731393497913,0.8885769911651085
OC(C[SeH])COCc1ccccc1,-4.593004379083118,7.445806626375027,0.8923129049374802
CCn1nc(C)c2c1NCCN=C2c1cccc(C(F)(F)F)c1,-4.862745288996435,13.824223515308578,0.9974251946302889
Fc1cccc(CN2CCOCC3(CCN(C4CCOCC4)C3)C2)c1,-4.8953588339038445,8.209804657471702,0.9847171283418156
CC(C)C[C@H](CC(=O)NO)C(=O)N[C@H](Cc1ccc(-c2ccccc2)cc1)C(=O)NCCCN1CCOCC1,-5.485778261342588,4.050186465095405,0.8259500118047403
CCN(CC(=O)Nc1cc(Cl)ccc1C)C(=O)C1CC1,-4.625921360272102,13.069318575835954,0.8624437844907675
COCC(=O)Nc1c(C(=O)Nc2cccc(OC)c2)oc2ccccc12,-4.977677714269444,6.761342820198655,0.4577179076315464
O=C(c1ccccc1-c1ccccc1)N1CCCCC1,-4.634043622906624,7.444376836438538,0.5215443208389633
CCN1CCN(C2CCN(C(=O)COc3ccc(-c4ccccc4)cc3)CC2)CC1,-5.098817260509932,3.760142246405386,0.9736053677377473
CC(NC(=O)CCn1ccc2cc(S(=O)(=O)N3CCCC3)ccc21)c1ccccc1,-5.561056682043686,3.0033266975981285,0.23476608505322996
Nc1cccc2ncn(-c3ccccc3)c12,-4.647324394608004,8.391568396856016,0.052838061391324576
CCO[C@H]1OC(C(=O)N2CCCCCCC2)=C[C@@H](C2CCCCC2)[C@@H]1CCCO,-4.711613680009179,4.188821664018166,0.8064539171970079
O=C1C=C(O)CC(c2ccc(Cl)cc2)C1,-4.518795930925682,15.21603474611867,0.5775478141156407
O=C(CN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O)NC1CCS(=O)(=O)C1,-5.24658573878708,9.430486937329208,0.043006758684440136
NC1=NN(c2ccccc2)C(=O)C1C(=O)CCC(=O)Nc1cccc(Cl)c1,-5.6983099510377295,2.239310256879614,0.15302854064349086
Cc1c(C(=O)NN2C(=O)C(C)SC23CCCCC3C)[nH]c2ccc(Cl)cc12,-5.3721992810635735,6.8743943014775155,0.8428062896834916
COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(CCNCCc3c[nH]cn3)c2=O)c1,-5.076473715485306,6.393007297399192,0.8441466181469071
COc1cc2c(cc1OC)-c1n[nH]c(-c3cnc(Cl)c(Cl)c3)c1C2,-4.958141186525975,7.6775584032727116,0.9251671080734136
O=C(O)c1ccc(Nc2ccccc2)c([N+](=O)[O-])c1,-4.968906078181473,3.861354502787445,0.013267082059502316
CC1CC(O)=NN=C1c1ccc(-n2ccnc2)cc1.Cl,-4.466152433867835,3.00839576896496,0.40696281596610057
C=CC(=O)N1CCC(Oc2cc3c(Nc4cccc(S)c4)ncnc3cc2OC)CC1,-5.057564233540507,11.656480367722175,0.9966556070729895
CS(=O)(=O)NC1CCN(C(=O)c2coc(CN3CCOCC3)c2)CC1,-4.9326854882914635,4.105971769832056,0.4085398814529468
CC(NC(=O)C(=O)Nc1ccc(Cl)c(F)c1)c1ccc(S(N)(=O)=O)cc1,-5.060722906401049,9.597895325962767,0.10599739088829596
COc1ccccc1CNC(=O)C1CCN(c2nnc(C)c3c(C)n(-c4ccccc4)nc23)CC1,-5.6996129872763195,4.370553745038082,0.9906896736889911
CC[N+](C)(CC)CCC(O)(c1ccccc1)c1ccccc1,-4.938894561356727,18.109171070277988,0.928790908583067
COc1cc(N2CCOCC2)ccc1Nc1nc2c(c(Nc3ccccc3S(=O)(=O)NCC(C)C)n1)C(C)(C)CN2,-5.079114422947795,2.778729666668905,0.9153127168550326
O=C(c1c[nH]c(=O)c(Cl)c1)N1C[C@H]2CC[C@@H](C1)N(Cc1ccccc1)C2,-5.285809271900376,2.4738764131329485,0.8523564785270717
O=C(NC1CCCC1)c1cccc2c1C(=O)c1ccc(/C=C/c3ccccc3)cc1S2(=O)=O,-5.461137831112869,9.52835343002373,0.6434464204456538
CCN(CC)[C@@H]1CCc2cccc(O)c2C1,-5.053022040935179,4.636288434631028,0.9908155343220035
O=C1N(CCCc2ccccc2)CCCC12CCN(C(CO)CO)C2,-5.102995495778442,5.646856120762924,0.9280255833554325
CCO/C(O)=C1\C(C)=NC(C)=C([N+](=O)[O-])C1c1ccccn1,-4.9999982231337,7.407708818620735,0.0637189001093721
O=[N+]([O-])/C=C\c1c[nH]c2ccc(OCc3ccccc3)cc12,-4.722675522860828,5.22962071375951,0.31507944398001014
CC(C)(O)C(=O)N=Nc1c(O)[nH]c2ccccc12,-4.539804736531383,10.797600130494054,0.8373671222259444
Cc1cccc(C)c1Nc1ccc(C(=O)NCCCCCCC(=O)NO)cc1F,-5.038044054318829,4.032497003225652,0.7482091796961002
Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1-n1cc(-c2cncc(N3C[C@@H]4C[C@H]3CN4)c2)nn1,-5.536164972322014,19.947370107312324,0.9714432702218136
CC(C)(C)c1ccc(/C=N/NC(=N)N)cc1,-5.861367718096781,16.28670196241395,0.09610115564160703
O=C(O)C1(P(=O)(c2ccc(Cl)cc2)c2ccc(Cl)cc2)CCCC1,-4.961366941015763,8.062919178470763,0.03646893711248791
Cc1ncc2n1C(=O)N(C1CCN(C(=O)[C@H](O)CS(=O)(=O)c3ccc4cc(Cl)ccc4c3)CC1)C2,-5.0770989849792,7.055276074969997,0.5753795942529896
C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@H](C=O)Cc1ccccc1,-4.803289300981687,2.687622308606958,0.30431962603694523
N#Cc1ccc(Cc2coc3ccccc3c2=O)cc1,-4.8437542793553705,12.264970869735897,0.526681975766297
CO[C@@H]1O[C@H](COC(=O)c2nnn(Cc3ccccc3)c2C)[C@H]2OC(C)(C)O[C@@H]12,-5.498935150179714,2.532729046499755,0.6586466163888508
COc1ccc(CNS(=O)(=O)c2cc3c(cc2Cl)NC(=O)CO3)cc1,-5.445046472623023,8.95141547989819,0.5565557207990353
O=C(NCCN(CCNC(=O)c1ccccn1)Cc1ccc2ccccc2c1)c1ccccn1,-4.921326110441881,1.2040700171947898,0.872486808854778
COC(=O)c1[nH]c2cc(C)ccc2c1NC(=O)CN1CCOCC1,-4.9787058348855755,3.068316942101904,0.8783294710341447
CCCCOC1c2ccccc2-c2c1c1cc(C)ccc1c(=O)n2C,-4.509629220846007,20.327442399345784,0.9938376599602752
Cc1ccc(-c2nc3scc(CCNS(=O)(=O)c4ccc(C)c(C)c4)n3n2)cc1,-5.056109245874839,4.820136375995699,0.09405780982469597
CNC1=NC(=O)[C@H]([C@H](CC(=O)OC(C)(C)C)c2c[nH]c3ccccc23)O1,-5.545956713590456,9.360474595996934,0.8046992883695376
CN(Cc1ccccc1)C(=O)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,-5.035827531078428,13.917785351885662,0.8375324660597662
O=C(O)c1cccc(Cn2c(Cl)c(/C=N/Nc3ccccc3)sc2=O)c1,-5.374595478741427,1.1301431940954896,0.9172541863315178
O=C(O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)OCc1ccccc1,-5.460427870976258,1.1619516440656856,0.26753524712999066
COc1ccc(CCNC(=O)CN2C(=O)c3ccccc3C2=O)cc1,-4.786333695882729,6.982288284427276,0.6699903962391828
CN1CCOc2c1cnn1c(C(=O)Nc3ccccc3NCC3CCNCC3)nnc21,-4.988491585073334,5.711934749904518,0.9665423791792432
CCCCCCC(=O)N/N=C(\C)Cc1ccccc1,-4.606707378158955,3.2545540995631175,0.8913628086167854
CC(=O)Nc1ccc(S(=O)(=O)N(CC(=O)NO)Cc2ccc([N+](=O)[O-])cc2)cc1,-5.587659142904773,3.3944216247301657,0.03304623625559818
CC(=O)OC[C@H]1OC(NS(=O)(=O)c2ccc(O)cc2)C(OC(C)=O)=C[C@@H]1OC(C)=O,-5.190908411796191,2.79367318688562,0.06633310790861413
O=C(OCn1ccc(=O)[nH]c1=O)c1ccc(I)cc1,-5.08091578859575,0.4908425319073942,0.15078525593056502
COC(=O)N1CCC(Cc2cccc([C@@H](CC#N)Nc3nc4nc(C)ccc4[nH]3)c2)CC1,-6.078353032541504,5.367822574829355,0.9944851024554475
CN1CCN(C(=O)c2cc(Nc3ncc4cc(C(N)=O)n(C5CCCC5)c4n3)cn2C)CC1,-5.3929155839465555,4.333941589705716,0.9700415493777612
CC(=O)Nc1cc(C(=O)O)cc(OCc2ccccc2)c1C(=O)c1ccccc1,-5.231519780141617,2.2525816401834464,0.2851355905550319
Cc1ccccc1C(=O)Nc1ccc(N2CCN(CC(O)(Cn3cncn3)c3ccc(F)cc3F)CC2)c(F)c1,-5.129960073857449,10.579801838808065,0.9360509392448918
C[C@H](CN(C(=O)c1ccc(Cl)cc1)c1ccccn1)N1CCN(c2cccc3c2OCCO3)CC1,-4.668056582226128,11.285217651808347,0.7885636670158394
COc1ccc([C@@H]2C=C(C(=O)O)O[C@H](OCCCCO)C2)cc1,-5.314720945309647,1.910912380102442,0.9574828855971766
CCCC(C)COc1ccc([C@@H](NC(=O)Cc2ccccc2[N+](=O)[O-])C(=O)OC)cc1,-4.6346808050126125,4.974126562096835,0.26499464630626957
CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)c1nc(CCC(C)C)no1,-5.290704860967467,2.3418818591256225,0.5030559812878312
CN1C2CCC1CC(n1nnc3ccccc3c1=O)C2,-4.849200789682748,14.438006821793566,0.915620136626825
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,-4.706321470701377,3.703199088910327,0.7646988616500695
Oc1nc2ccccc2n2c(-c3ccccc3)nnc12,-4.435455047716073,4.423240743356641,0.585049757552823
CC(C)[C@H](NC(=O)c1ccc(O)c(-c2cccc(C(F)(F)F)c2)c1)C(=O)NCCN1CCCCC1,-5.596352428638886,7.059385428981113,0.9494865398100124
O=C(c1ccc(F)cc1)N1C[C@H]2[C@@H](c3ccccc31)[C@@H](CO)N2Cc1ccc2c(c1)OCO2,-4.870706895472067,5.441563854816739,0.9453586359120577
CNC(=O)c1cnc(N2CCN(C3CCN(Cc4ccc(S(C)(=O)=O)cc4)CC3)[C@@H](C)C2)c(Cl)c1,-5.35950306609992,3.145706122594315,0.37882341763555183
Fc1ccc2c(c1)sc1nc(-c3ccccc3)c(CN3CCCC3)n12,-5.061769937105456,6.824604238014866,0.8661379706874255
COC(=O)c1ccc(CSc2nc(Cc3cc(C)cc(C)c3)cc(=O)[nH]2)cc1,-5.8858182705413835,0.906359308297608,0.7419433855681975
