seed,A_base_n_train,A_base_physical,A_base_mean_SI,A_base_best_SI,A_base_best_PfDHFR,B_pivot_n_train,B_pivot_physical,B_pivot_mean_SI,B_pivot_best_SI,B_pivot_best_PfDHFR,D_full_n_train,D_full_physical,D_full_mean_SI,D_full_best_SI,D_full_best_PfDHFR
0,290,18,1.0664444444444448,4.24,-9.875,290,16,1.686375,7.829000000000001,-10.04,290,13,2.4349230769230767,7.829000000000001,-10.04
1,290,15,0.8390666666666664,4.24,-10.36,290,18,0.9103333333333334,4.832999999999999,-9.554,290,10,0.8097999999999999,3.2590000000000003,-9.863
2,290,18,2.2027222222222225,7.477,-9.983,290,17,1.6545882352941177,7.829000000000001,-10.19,290,14,0.9154999999999998,3.3489999999999993,-9.456
3,290,18,0.8515555555555557,4.24,-9.66,290,16,1.1741875,5.7379999999999995,-10.36,290,15,0.47379999999999994,2.5599999999999996,-10.11
4,290,18,0.9327222222222223,4.24,-11.38,290,17,1.6054705882352938,7.829000000000001,-10.09,290,17,1.4488235294117648,7.829000000000001,-10.04
5,290,18,1.2268333333333332,4.24,-9.995,290,14,0.1951428571428571,3.3489999999999993,-8.983,290,16,0.550125,3.2590000000000003,-10.72
