seed,A_base__hv,A_base__n,A_base__physical,A_base__admet_pass,A_base__admet_pass_pct,A_base__front5_pct,A_base__front2_pct,A_base__top20_SI,A_base__best_SI,A_base__best_pf,B_pivot__hv,B_pivot__n,B_pivot__physical,B_pivot__admet_pass,B_pivot__admet_pass_pct,B_pivot__front5_pct,B_pivot__front2_pct,B_pivot__top20_SI,B_pivot__best_SI,B_pivot__best_pf,D_full__hv,D_full__n,D_full__physical,D_full__admet_pass,D_full__admet_pass_pct,D_full__front5_pct,D_full__front2_pct,D_full__top20_SI,D_full__best_SI,D_full__best_pf
0,0.3962918568802018,282,255,194,68.79432624113475,62.765957446808514,0.7092198581560284,2.15395,5.372,-11.1,0.27174189416832195,284,267,253,89.08450704225352,28.169014084507044,2.464788732394366,3.3923500000000004,6.696000000000001,-11.28,0.27030690568554294,281,256,250,88.96797153024912,33.096085409252666,1.7793594306049823,3.3006000000000006,6.696000000000001,-11.51
1,0.37029404460164284,279,249,182,65.23297491039426,58.422939068100355,1.7921146953405018,2.3001499999999995,5.372,-11.38,0.27846473178280023,282,252,248,87.94326241134752,34.39716312056738,2.8368794326241136,3.224405,8.235100000000001,-11.3,0.2705383866639654,282,252,248,87.94326241134752,31.20567375886525,2.8368794326241136,2.6563499999999993,4.268,-11.38
2,0.4012052889064209,280,250,184,65.71428571428571,61.785714285714285,0.7142857142857143,3.0149999999999997,5.925,-11.17,0.28732045356255076,283,262,253,89.39929328621908,40.63604240282685,1.4134275618374559,3.2709,6.696000000000001,-11.27,0.2944595305897718,286,270,256,89.5104895104895,33.21678321678322,1.048951048951049,3.3257,5.925,-11.27
3,0.3999738114870069,282,256,199,70.56737588652483,58.51063829787234,0.7092198581560284,2.6313,5.372,-11.23,0.2305111839098363,276,237,244,88.40579710144928,36.231884057971016,1.8115942028985508,2.2003000000000004,3.6910000000000007,-11.38,0.2499324267763843,278,225,246,88.48920863309353,32.73381294964029,2.8776978417266186,1.7306000000000004,3.785,-11.38
4,0.401672219086592,276,248,190,68.84057971014492,60.869565217391305,0.7246376811594203,2.64605,5.372,-11.1,0.24135357307838418,279,250,249,89.24731182795699,26.523297491039425,0.7168458781362007,3.3203050000000003,8.344,-11.51,0.25630145351457384,278,250,248,89.20863309352518,34.172661870503596,2.5179856115107913,3.493249999999999,6.696000000000001,-11.3
5,0.39912805961643627,279,250,187,67.02508960573476,59.13978494623656,0.7168458781362007,2.552799999999999,5.372,-11.23,0.24927980072020506,282,263,251,89.00709219858156,35.815602836879435,0.7092198581560284,2.7678000000000003,5.8580000000000005,-11.23,0.26146235621223407,281,261,250,88.96797153024912,35.23131672597865,1.7793594306049823,2.89945,5.925,-10.95
