seed,full_n_train,full_n_both,full_physical,full_mean_SI,full_best_SI,full_best_PfDHFR,full_pred_si_mean,asym_n_train,asym_n_both,asym_physical,asym_mean_SI,asym_best_SI,asym_best_PfDHFR,asym_pred_si_mean
0,290,282,18,1.0664444444444448,4.24,-9.875,1.4747138225945462,465,100,15,0.9544000000000001,2.6929999999999996,-10.12,1.1381810847196236
1,290,279,15,0.8390666666666664,4.24,-10.36,1.0735897575954212,465,100,18,0.5538333333333332,5.119999999999999,-10.7,0.8387329723918541
2,290,280,18,2.2027222222222225,7.477,-9.983,2.086385388040302,465,109,19,1.3509999999999998,7.477,-9.554,2.1552489989962047
3,290,282,18,0.8515555555555557,4.24,-9.66,1.6209866248791827,465,104,19,0.8214210526315789,4.24,-9.67,1.608257255528322
4,290,276,18,0.9327222222222223,4.24,-11.38,1.6852255706067283,465,119,19,0.17905263157894746,2.7760000000000007,-10.1,1.3706452472826538
5,290,279,18,1.2268333333333332,4.24,-9.995,1.7744048618329813,465,100,17,0.7234705882352944,3.6019999999999994,-10.1,1.516031914715813
