seed,old_hv,old_auc,old_pareto,old_physical,old_top20_SI,old_best_pf,new_hv,new_auc,new_pareto,new_physical,new_top20_SI,new_best_pf
0,0.4020266869263651,0.3502978620488652,179,254,2.5305999999999993,-11.1,0.3962918568802018,0.3391891482498391,177,255,2.15395,-11.1
1,0.4018965393450979,0.34648712571245044,179,253,2.698999999999999,-11.1,0.3702940446016428,0.3243186214729738,164,249,2.3001499999999995,-11.38
2,0.3988008973471337,0.35204404584580296,177,246,2.7916499999999997,-11.1,0.4012052889064209,0.3555795256116105,173,250,3.0149999999999997,-11.17
3,0.4016058091816047,0.33478742124967525,163,255,2.6210999999999998,-11.1,0.3999738114870068,0.32300977736446707,166,256,2.6313,-11.23
4,0.4030586906255589,0.3334507617627451,170,250,2.752,-11.1,0.4016722190865921,0.3365818990586752,169,248,2.64605,-11.1
5,0.398771988974816,0.3278213981815293,156,252,2.4698499999999997,-11.12,0.3991280596164362,0.3282933668570655,167,250,2.552799999999999,-11.23
