seed,zeros_hv,zeros_auc,zeros_pareto,zeros_physical,zeros_top20_SI,zeros_best_SI,nadir_hv,nadir_auc,nadir_pareto,nadir_physical,nadir_top20_SI,nadir_best_SI
0,0.3962918568802018,0.3391891482498391,177,255,2.15395,5.372,0.4039494474333865,0.3477122417747362,178,259,2.5880499999999995,5.925
1,0.3702940446016428,0.3243186214729738,164,249,2.3001499999999995,5.372,0.3574017171287078,0.3175969063697747,167,253,2.149199999999999,5.372
2,0.4012052889064209,0.3555795256116105,173,250,3.0149999999999997,5.925,0.4014737209770539,0.34184823744566023,160,257,3.0023999999999997,5.925
3,0.3999738114870068,0.32300977736446707,166,256,2.6313,5.372,0.3969992974975335,0.3439410394764094,172,255,2.253,5.372
4,0.4016722190865921,0.3365818990586752,169,248,2.64605,5.372,0.3968483982029805,0.3195900468575461,163,251,2.43715,5.372
5,0.3991280596164362,0.3282933668570655,167,250,2.552799999999999,5.372,0.3982936128221441,0.3306161552632473,165,254,2.4756499999999995,5.372
