iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,29,0.07170788375051389,24.0,14.0
2,50,32,0.07398555027210703,23.5,14.0
3,55,30,0.09750907643212373,23.5,14.0
4,60,34,0.11924043448892678,24.0,14.0
5,65,35,0.12446122367608559,24.0,14.0
6,70,39,0.1248657072774378,24.0,14.0
7,75,35,0.13605273332495924,24.0,14.0
8,80,38,0.1362066698833841,24.0,14.0
9,85,40,0.136897913348125,23.5,14.0
10,90,41,0.13701296343201627,24.0,14.0
11,95,46,0.14591528242069207,24.0,14.0
12,100,50,0.14602035810680897,24.0,14.0
13,105,52,0.14609424167741192,23.5,14.0
14,110,56,0.1473176174144392,24.0,14.0
15,115,59,0.1479222280340738,24.0,14.0
16,120,61,0.14793694095246354,24.0,14.0
17,125,62,0.14876490032776277,24.0,14.0
18,130,64,0.14896444296365333,24.0,14.0
19,135,65,0.14896510295139723,24.0,14.0
20,140,68,0.14899894397316868,24.0,14.0
21,145,71,0.14932025761487644,24.0,14.0
22,150,66,0.1559232844560797,25.0,14.0
23,155,69,0.15621270584822636,25.0,14.0
24,160,71,0.15627759200971555,25.0,14.0
25,165,74,0.15658703619920125,25.0,14.0
26,170,76,0.15668058446740157,25.0,14.0
27,175,79,0.16225958835281254,25.0,14.0
28,180,83,0.1808376943637532,25.0,14.0
29,185,86,0.18090901051303554,25.0,14.0
30,190,84,0.19800351156639034,25.0,14.0
31,195,86,0.19823845080295308,25.0,14.0
32,200,87,0.19826688865353825,25.0,14.0
33,205,89,0.19828634547489493,25.0,14.0
34,210,90,0.19906464496648135,25.0,14.0
35,215,93,0.19927585590446986,25.0,14.0
36,220,96,0.19971870105179407,25.0,14.0
37,225,98,0.20085642444625684,25.0,14.0
38,230,98,0.2087676021857813,25.0,14.0
39,235,100,0.20876875269870449,25.0,14.0
40,240,101,0.20876877223239487,25.0,14.0
41,245,103,0.20885316393786832,25.0,14.0
42,250,104,0.2088746716399465,25.0,14.0
43,255,105,0.2307644909010716,25.0,14.0
44,260,95,0.23308888983883344,25.0,14.0
45,265,95,0.23372723736854784,25.0,14.0
46,270,95,0.23549086802014818,26.0,14.0
47,275,95,0.23553468727524396,26.0,14.0
48,280,92,0.23589921360992278,26.0,14.0
49,285,82,0.24135357307838415,25.5,14.0
50,290,82,0.24135357307838415,25.5,14.0
