SMILES,pred_SI,PfDHFR,hDHFR,SI,physical
O=C1Nc2ccccc2C12CCN(c1nccs1)CC2,1.258319498289211,-8.606,-7.852,0.7539999999999996,True
O=C1CC(c2cccs2)Oc2ccccc21,1.0109564579834682,-7.893,-7.909,-0.016000000000000014,True
COC(=O)[C@@H]1C[C@H](C)N(C(=O)c2ccccn2)[C@@]12C(=O)Nc1ccccc12,0.9096765788086145,-7.622,-5.449,2.173,True
CN1C/C(=C\c2ccc(F)cc2)C(=O)[C@]2(C1)[C@@H](c1ccc(F)cc1)CN(C)[C@@]21C(=O)N(C)c2ccccc21,0.8977564069183472,-0.5955,6.096,6.6915000000000004,False
COC1=C[C@@H]2[C@@H]3Cc4ccc(OC)c(OCc5ccccc5F)c4[C@]2(CCN3C)CC1=O,0.8827429599160723,-10.69,-5.57,5.119999999999999,True
O=C1c2ccccc2NC(c2cccs2)N1NS(=O)(=O)c1ccccc1,0.8725233012834792,-9.302,-6.742,2.5599999999999996,True
O=C1CN(C(=O)c2cccs2)c2ccccc2N1,0.8547850233431689,-8.56,-8.724,-0.1639999999999997,True
CN1C[C@@H]2Cc3ccccc3[C@@](C)(C2)C1.Cl,0.8529619772036483,,,,False
O=C1CSc2cc([N+](=O)[O-])ccc2N1,0.8312767682293725,-7.116,-6.922,0.19399999999999995,True
O=C([C@@H]1CSCN1C(=O)C[C@H]1CCc2ccccc2C1)N1CCCC1,0.8241724040381939,-9.12,-9.929,-0.809000000000001,True
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cc(N)on3)cc2)no1,0.8170519703274408,-7.314,-6.147,1.1669999999999998,True
CCNC12CCCCC1CCc1ccccc12,0.8069985089420868,-8.593,-8.617,-0.02400000000000091,True
CC(C(=O)c1ccccc1)C1(O)C(=O)Nc2ccccc21,0.7931581403472308,-9.387,-9.889,-0.5019999999999989,True
CC(=O)O[C@H]1C2Cc3ccccc3[C@@]1(C)CCN2C,0.7578114630188324,-8.039,-8.013,0.0259999999999998,True
COc1c(O)c2c3c(c1OC)CCN(C)C3Cc1ccccc1-2,0.7458693220057597,-7.758,-7.459,0.2990000000000004,True
O=C1CSc2cc(Nc3cc(C(F)(F)F)ccn3)ccc2N1,0.736011534385625,-9.083,-9.275,-0.19200000000000017,True
O=C1Nc2ccccc2C1CCCCN1CCN(c2ccc(F)cc2)CC1,0.7343695914749091,-9.257,-9.505,-0.2480000000000011,True
O=C(Nc1cc(-c2nc(N[C@@H]3CCNC3)c3sccc3n2)ccn1)c1cccs1,0.7323974805400155,-8.764,-8.805,-0.04100000000000037,True
O=C(NC1Cc2ccccc2C1)c1cccnc1Oc1ccc(Nc2ccccn2)cc1,0.7316232355372563,-10.7,-10.26,0.4399999999999995,True
CCOC(=O)[C@@H]1C[C@]12C(=O)Nc1ccc(Br)cc12,0.7241968252443485,-7.096,-7.864,-0.7679999999999998,True
