n,alpha,boxes,sec,peak_mb,hv,hv_rel_err,speedup,box_ratio
6,0.0,243,0.11783558269962668,0.004848480224609375,0.14608187731629232,0.0,1.0,1.0
6,1e-05,145,0.08127987524494529,0.004840850830078125,0.14674692429563418,0.004552563203318638,1.4497510280929566,1.6758620689655173
6,0.0001,86,0.0410084156319499,0.004833221435546875,0.15167550195096208,0.038291023756208964,2.873448800295037,2.8255813953488373
6,0.001,42,0.017450165934860706,0.004693031311035156,0.1724281016072317,0.18035244874280532,6.752691243137298,5.785714285714286
6,0.01,21,0.0077252923510968685,0.004616737365722656,0.19263475984015477,0.3186766447631794,15.253219858132088,11.571428571428571
6,0.1,5,0.002300374675542116,0.004024505615234375,0.20526797159397464,0.40515699390646703,51.224517445992596,48.6
9,0.0,2698,0.947757416870445,0.004901885986328125,0.16019898058004933,0.0,1.0,1.0
9,1e-05,461,0.22069741692394018,0.004878997802734375,0.1799362517061991,0.12320472361737222,4.294374760158949,5.8524945770065075
9,0.0001,206,0.08663333300501108,0.004848480224609375,0.21523656223968396,0.3435576272729967,10.939870186174465,13.097087378640778
9,0.001,87,0.03598520811647177,0.004848480224609375,0.2595044810924851,0.6198884671604642,26.3374165796924,31.011494252873565
9,0.01,30,0.01393500017002225,0.004543304443359375,0.31707506302029154,0.9792576823661702,68.01273091544797,89.93333333333334
9,0.1,2,0.0026967921294271946,0.003917694091796875,0.4749916273854852,1.9650102994765197,351.43881003232946,1349.0
12,0.0,5550,4.325802583247423,0.005237579345703125,0.18945647534256788,0.0,1.0,1.0
12,1e-05,594,0.38988616690039635,0.005214691162109375,0.21988075177697525,0.16058715533156293,11.095039912899832,9.343434343434344
12,0.0001,246,0.13244583318009973,0.005214691162109375,0.261013358419948,0.3776956314002661,32.66091865166646,22.5609756097561
12,0.001,112,0.04605358326807618,0.005039215087890625,0.29185609000625956,0.5404915006390606,93.92977215403823,49.55357142857143
12,0.01,42,0.014898000285029411,0.004848480224609375,0.3147509855165476,0.661336647097583,290.36129013867065,132.14285714285714
12,0.1,2,0.002492832951247692,0.003925323486328125,0.41998599609855564,1.2167940965815667,1735.2958131760527,2775.0
15,0.0,16836,10.483055541291833,0.005237579345703125,0.2152625839640711,0.0,1.0,1.0
15,1e-05,1086,0.5032817497849464,0.005158424377441406,0.2568866144483546,0.19336398234089225,20.829397342087745,15.502762430939226
15,0.0001,452,0.1799095836468041,0.005138397216796875,0.29216012232182026,0.357226680743477,58.268466464087965,37.24778761061947
15,0.001,156,0.06313579110428691,0.005005836486816406,0.33053952163999156,0.5355177641794034,166.03982238816099,107.92307692307692
15,0.01,45,0.02158387517556548,0.004848480224609375,0.3777276462228273,0.7547296853310689,485.68922197805404,374.1333333333333
15,0.1,2,0.0027185408398509026,0.003925323486328125,0.4179661768227314,0.9416573429802041,3856.133182780058,8418.0
18,0.0,40897,35.06085949996486,0.005313873291015625,0.23677498944015662,0.0,1.0,1.0
18,1e-05,1269,0.5970154576934874,0.005290985107421875,0.30939723207335923,0.30671416269477825,58.72688729939953,32.227738376674544
18,0.0001,444,0.21224183356389403,0.005214691162109375,0.3726719042478992,0.5739496182813246,165.19297308751348,92.11036036036036
18,0.001,138,0.07227699970826507,0.005115509033203125,0.44895822437111677,0.8961387156331734,485.09013436477164,296.3550724637681
18,0.01,36,0.024481124710291624,0.004848480224609375,0.5821166315294434,1.4585224685505462,1432.1588536014287,1136.0277777777778
18,0.1,2,0.0024515832774341106,0.003925323486328125,0.7247094302919446,2.060751610655695,14301.312879185753,20448.5
21,0.0,74864,59.46211887476966,0.005466461181640625,0.23501786990794038,0.0,1.0,1.0
21,1e-05,1145,0.6307910839095712,0.005290985107421875,0.2761739290850189,0.17511885029508573,94.26594698553795,65.38340611353712
21,0.0001,396,0.2107088752090931,0.005290985107421875,0.305164314528829,0.2984728125072612,282.20035257538876,189.05050505050505
21,0.001,121,0.06496654218062758,0.005039215087890625,0.3430447805765694,0.4596540284827898,915.2729524906238,618.7107438016529
21,0.01,40,0.020343542098999023,0.004848480224609375,0.39628414664031525,0.6861872962917459,2922.899000842897,1871.6
21,0.1,0,0.0027715410105884075,0.003925323486328125,0.5046008556922839,1.1470744156175985,21454.533289458937,
24,0.0,120829,119.16752958390862,0.005649566650390625,0.21417687941656094,0.0,1.0,1.0
24,1e-05,1559,0.861149207688868,0.005519866943359375,0.27617863689436317,0.2894885649968436,138.38197668871766,77.50416933932007
24,0.0001,466,0.2893793750554323,0.005420684814453125,0.3196213538365499,0.4923242635116832,411.80381138455834,259.28969957081546
24,0.001,124,0.08437254233285785,0.005344390869140625,0.3724261379051504,0.7388718096914855,1412.3970463492872,974.4274193548387
24,0.01,33,0.025667499750852585,0.005214691162109375,0.4299836453553413,1.0076100021937913,4642.740069762747,3661.4848484848485
24,0.1,2,0.0025076670572161674,0.003925323486328125,0.5351247500840595,1.4985178210729018,47521.27250744359,60414.5
