m,front,frac,boxes,sec
2,2,0.0070921985815602835,3,0.0005487091839313507
3,22,0.07801418439716312,390,0.07862737495452166
4,81,0.2872340425531915,4734,1.257248458918184
5,177,0.6276595744680851,62433,27.549047916661948
