seed,base_hv,base_auc,base_physical,base_artifacts,base_top20_SI,base_best_SI,base_best_pf,rej_hv,rej_auc,rej_physical,rej_artifacts,rej_top20_SI,rej_best_SI,rej_best_pf
0,0.3962918568802018,0.3391891482498391,255,35,2.15395,5.372,-11.1,0.4020655626537965,0.32729903454962306,245,45,2.7565,5.372,-11.28
1,0.3702940446016428,0.3243186214729738,249,41,2.3001499999999995,5.372,-11.38,0.394336216256543,0.3317388285529099,250,40,2.3634999999999997,5.372,-11.17
2,0.4012052889064209,0.3555795256116105,250,40,3.0149999999999997,5.925,-11.17,0.4010884431116165,0.352198346777771,251,39,2.8959999999999995,5.925,-11.17
3,0.3999738114870068,0.32300977736446707,256,34,2.6313,5.372,-11.23,0.3680795741479777,0.32094665588669713,244,46,2.2641999999999998,5.372,-11.12
4,0.4016722190865921,0.3365818990586752,248,42,2.64605,5.372,-11.1,0.3956738059859822,0.30756656650441117,246,44,2.4123499999999996,5.372,-11.1
5,0.3991280596164362,0.3282933668570655,250,40,2.552799999999999,5.372,-11.23,0.3579008207013002,0.3025035610070148,252,38,2.4772499999999997,5.925,-10.46
