iteration,n_evaluated,pareto_size,hypervolume,pareto_median_heavy,pareto_min_heavy
1,45,15,0.15088658942008262,24.0,15.0
2,50,17,0.16945571510744065,24.0,15.0
3,55,12,0.19339858714075692,23.0,15.0
4,60,13,0.19462944814768904,22.0,15.0
5,65,15,0.20040399350036245,21.0,15.0
6,70,18,0.21672208322210215,21.5,15.0
7,75,19,0.21678051340960178,22.0,15.0
8,80,19,0.21678051340960178,22.0,15.0
9,85,22,0.21755683766597794,23.0,15.0
10,90,24,0.22518684335238662,24.0,15.0
11,95,25,0.22561284577325036,24.0,15.0
12,100,28,0.2284436466424634,22.0,15.0
13,105,29,0.22867358691309964,22.0,15.0
14,110,31,0.23230974549358,22.0,15.0
15,115,32,0.23243623915156084,22.0,15.0
16,120,34,0.2329788376780384,22.0,15.0
17,125,37,0.23502889327089133,22.0,15.0
18,130,42,0.24807349281811167,22.0,15.0
19,135,45,0.29000634836758254,22.0,15.0
20,140,47,0.2924395375857465,23.0,15.0
21,145,47,0.2993984864889314,22.0,15.0
22,150,49,0.30016899921255913,23.0,15.0
23,155,50,0.3001709349249041,22.5,15.0
24,160,52,0.3008049598584221,22.0,15.0
25,165,54,0.3015437299285101,22.0,15.0
26,170,55,0.3139069300778687,22.0,15.0
27,175,56,0.31390949316961375,22.0,15.0
28,180,56,0.31390949316961375,22.0,15.0
29,185,60,0.3146293995106629,22.0,15.0
30,190,60,0.3622740541064532,22.0,15.0
31,195,61,0.3622741137998319,22.0,15.0
32,200,63,0.3623408768440196,22.0,15.0
33,205,65,0.366150309643708,22.0,15.0
34,210,68,0.3665854664422166,22.0,15.0
35,215,69,0.3667960560595667,22.0,15.0
36,220,70,0.36679679573596113,22.0,15.0
37,225,73,0.36703405307577514,22.0,15.0
38,230,74,0.3670421355350292,22.0,15.0
39,235,74,0.3670421355350292,22.0,15.0
40,240,75,0.367116411210304,22.0,15.0
41,245,76,0.36716848566385185,22.0,15.0
42,250,79,0.37150330660047753,22.0,15.0
43,255,83,0.37285591496207954,21.0,14.0
44,260,85,0.3729119269105662,21.0,14.0
45,265,86,0.372914941936923,21.0,14.0
46,270,86,0.372914941936923,21.0,14.0
47,275,88,0.37320118970965005,21.0,14.0
48,280,89,0.37344033181057984,21.0,14.0
49,285,90,0.3736289582166497,21.0,14.0
50,290,92,0.3736495993232906,21.0,14.0
51,295,93,0.3736779883594877,21.0,14.0
52,300,96,0.37477844665810617,21.0,14.0
53,305,98,0.3747967988478825,21.0,14.0
54,310,99,0.3748591050692703,21.0,14.0
55,315,99,0.3748591050692703,21.0,14.0
56,320,100,0.37510557542579154,21.0,14.0
57,325,102,0.3752135132483737,21.0,14.0
58,330,103,0.3752753513646072,21.0,14.0
59,335,105,0.37527914014580976,21.0,14.0
60,340,108,0.3753614559861265,21.0,14.0
61,345,109,0.3753619111108617,21.0,14.0
62,350,109,0.3753619111108617,21.0,14.0
63,355,109,0.3753619111108617,21.0,14.0
64,360,113,0.3753804770948009,21.0,14.0
65,365,114,0.3769156184166676,21.0,14.0
66,370,116,0.3769213935393416,21.0,14.0
67,375,118,0.3769787095878464,21.0,14.0
68,380,119,0.37701570071047785,21.0,14.0
69,385,120,0.3774145368768822,21.0,14.0
